custom/avg_speed,custom/CPM,custom/collision_num,custom/total_reward,custom/mean_reward,custom/collision_rate,custom/episode_length,custom/total_distance,custom/collision_interval,custom/collision_speed,time/num_timesteps,custom/routes_completed,custom/avg_center_dev,custom/CPS,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_gt_rew_mean,train/approx_kl,train/learning_rate,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,train/loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss
8.989593037269243,66.88555882195962,1,13.867606347798276,0.1540845149755364,1.0,90,14.950910444837064,91,2.958674124334145,89,0.38461538461538464,0.37836044078970943,0.011111111111111112,,,,,,,,,,,,,,,,,,
7.747071994026641,76.93920926368028,2,10.621870749223394,0.11672385438707027,1.0,91,12.997274206092698,91,3.6727491978112154,179,0.05508474576271186,0.35799119446241223,0.01098901098901099,,,,,,,,,,,,,,,,,,
8.887902385455554,,2,-2.7155368552023207,-0.03232781970478953,0.6666666666666666,84,13.663069676840678,,,262,0.2413793103448276,0.9206732324176886,,,,,,,,,,,,,,,,,,,
9.828429835877207,49.481923242498716,3,14.694933836582429,0.1312047663980574,0.75,112,20.209400412737523,196,2.066396013551954,373,0.37735849056603776,0.6054022292702959,0.008928571428571428,,,,,,,,,,,,,,,,,,
9.544641168867027,36.79754005511648,4,20.817150716565493,0.13517630335432138,0.8,154,27.17572964122519,154,3.6898574143384852,526,0.46551724137931033,0.5535236732695351,0.006493506493506494,,,,,,,,,,,,,,,,,,
10.407417233667335,53.41889304986014,5,26.700111236372805,0.27245011465686536,0.8333333333333334,98,18.719968589888595,98,3.9142455535224854,623,0.048223350253807105,0.1617303819065137,0.01020408163265306,,,,,,,,,,,,,,,,,,
7.969988531549188,94.35459994205644,6,2.2116604911681677,0.030717506821780108,0.8571428571428571,72,10.59831741763628,72,3.512170293706236,694,0.25,0.44012452958651965,0.013888888888888888,,,,,,,,,,,,,,,,,,
9.276209494114228,62.040701655349984,7,12.355138144828832,0.13005408573504035,0.875,95,16.1184508446604,95,2.596438599962914,788,0.03764705882352941,0.3768146142033958,0.010526315789473684,,,,,,,,,,,,,,,,,,
8.383824446262878,78.09069574600967,8,10.216175776303423,0.12308645513618582,0.8888888888888888,83,12.80562287794828,83,1.1965210794956,870,0.28888888888888886,0.316710958837493,0.012048192771084338,,,,,,,,,,,,,,,,,,
13.010336659438478,,8,15.908555062570077,0.17874780969179863,0.8,89,21.296215761452913,,,958,0.057692307692307696,0.671156522653118,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,27,1024,1,12.4315434,95.8,37,,,,,,,,,,,,
,,,,,,,,,,,,,,27,1024,,,95.8,37,0,12.4315434,,,,,,,,,,
5.253011793505981,61.99260087868861,9,5.991991070467801,0.03588018605070539,0.8181818181818182,167,16.130957337261407,256,1.8394895427137976,1124,0.40476190476190477,0.5715804636739962,0.005988023952095809,,,,,,,,,0.021954933,9.335694336e-05,10,-0.002865433692932129,5.606200758367777,-3.386673814058304,0.8040201663970947,0.2,0.1904296875,-0.03158259349293076
12.597475940986198,,9,12.106308835138194,0.1120954521772055,0.75,108,25.011583636980504,,,1231,0.09328358208955224,0.7908429237615664,,,,,,,,,,,,,,,,,,,
11.471165800596097,,9,22.373084727390534,0.15116949140128738,0.6923076923076923,148,31.271501173060187,,,1378,0.14096916299559473,0.637049667722176,,,,,,,,,,,,,,,,,,,
10.158653433680593,,9,19.906763953740228,0.13824141634541826,0.6428571428571429,144,26.9421553432162,,,1521,0.18493150684931506,0.6779015273931359,,,,,,,,,,,,,,,,,,,
8.43323595838488,80.68543857373902,10,-0.1866560905397492,-0.0023332011317468647,0.6666666666666666,80,12.393810056396887,480,1.3883874753649033,1600,0.29545454545454547,0.6722685113057473,0.0125,,,,,,,,,,,,,,,,,,
9.258276269805911,,10,0.055160461454914156,0.0005461431827219224,0.625,101,17.17845133622177,,,1700,0.09714285714285714,1.1173792400865177,,,,,,,,,,,,,,,,,,,
10.698055935608702,,10,19.29797315842513,0.15438378526740104,0.5882352941176471,125,24.570385051425546,,,1824,0.5531914893617021,0.4932600470410481,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,28,2048,2,11.97685594117647,107.29411764705883,72,,,,,,,,,,,,
,,,,,,,,,,,,,,28,2048,,,107.29411764705883,72,0,11.97685594117647,,,,,,,,,,
14.734813516499411,15.44790472805704,11,36.31571000516278,0.15258701682841502,0.6111111111111112,238,64.73369803891683,464,20.177937539334796,2061,0.1292929292929293,1.0662012592095516,0.004201680672268907,,,,,,,,,0.01844703,8.694457343999999e-05,20,0.7427670061588287,2.2859696872532367,-3.3408765524625776,0.0892537534236908,0.2,0.19619140625,-0.03347783954232
10.708013404880685,,11,20.673092054854017,0.17372346264583208,0.5789473684210527,119,23.441490391212938,,,2179,0.25,0.5130413072375429,,,,,,,,,,,,,,,,,,,
13.061924893777972,39.818644916448974,12,10.271368329363739,0.09876315701311288,0.6,104,25.113863168831813,223,4.800851561873444,2282,0.06818181818181818,0.7365271155408466,0.009615384615384616,,,,,,,,,,,,,,,,,,
10.581780445688937,,12,-0.9930075123851889,-0.01306588832085775,0.5714285714285714,76,14.711660119786757,,,2357,0.17857142857142858,0.8928303348262725,,,,,,,,,,,,,,,,,,,
12.936820532545227,,12,45.48617615459309,0.2953647802246305,0.5454545454545454,154,36.69663298781961,,,2510,0.06533575317604355,0.40327657517136245,,,,,,,,,,,,,,,,,,,
