custom/episode_length,custom/total_distance,time/num_timesteps,custom/total_reward,custom/mean_reward,custom/collision_num,custom/avg_center_dev,custom/collision_rate,custom/avg_speed,custom/routes_completed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/value_loss,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/entropy_loss,custom/CPS,custom/CPM,custom/collision_interval,custom/collision_speed
751,254.07207666787417,14442,118.04311885537373,0.15718125014031123,5,0.6406268011510838,0.3333333333333333,8.423033884262239,1.1927710843373494,,,,,,,0.9455837394110859,0.6590009331703186,0.0072522657,140,0.0931640625,2.7989698560000006e-05,-0.013726500346092508,1.0264010429382324,0.2,0.018820732831954956,-2.8887681156396865,0.0013315579227696406,3.9358910003605434,751,12.212164194744895
149,25.71154576222034,14590,23.196529168633987,0.1556814038163355,5,0.5842062966155714,0.3125,9.398653865091466,0.07242339832869081,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,24,76.17226175,911.875,15,622,15360,,,,,,,,,,,,,,,
835,306.7885075666868,15424,151.92405435325722,0.18194497527336193,6,0.5267293294856417,0.35294117647058826,9.65590620476457,1.1734006734006734,,,,,,,1.8465995300561189,0.6554436683654785,0.005115268,150,0.02890625,2.4576256000000004e-05,-0.004856161499628797,1.0268359184265137,0.2,0.03995005786418915,-2.8903628528118133,0.0011976047904191617,3.2595745125251456,984,0.11407479626067087
,,,,,,,,,,24,80.62804952941177,907.2941176470588,16,663,16384,,,,,,,,,,,,,,,
,,,,,,,,,,24,80.62804952941177,907.2941176470588,17,704,17408,3.457964113354683,0.6218181252479553,0.0059909723,160,0.06796875,2.1393500159999998e-05,-0.009844533674186095,1.026781678199768,0.2,0.19128726422786713,-2.8908058553934097,,,,
2930,587.7571643206425,18353,587.371948097217,0.20046824167140512,6,0.5812641089398431,0.3333333333333333,9.163204889191464,1.7589928057553958,,,,,,,2.2262753397226334,0.6258254945278168,0.003231185,170,0.031640625,1.844143104e-05,-0.005337983893696219,1.026808500289917,0.2,0.5304680466651917,-2.8907455816864966,,,,
,,,,,,,,,,24,108.78029944444445,1019.6111111111111,18,746,18432,,,,,,,,,,,,,,,
913,409.8348399212118,19265,258.0752521874351,0.28266730798185663,7,0.4696318652190347,0.3684210526315789,12.526682805761162,1.206896551724138,,,,,,,0.8890835594385862,0.8567410260438919,0.012735593,180,0.1177734375,1.5720048640000006e-05,-0.016475105274002998,1.0273618698120117,0.2,0.01254299283027649,-2.8912104189395906,0.001095290251916758,2.440007297066896,3843,0.7553187520207223
79,16.49149698810652,19343,12.48170595015684,0.15799627785008657,8,0.34712074002675797,0.4,11.351481867582686,0.03970223325062035,,,,,,,,,,,,,,,,,,0.012658227848101266,60.63730907637971,79,1.461865551993527
